Eb/No (dB),RS Depth 4 (BPSK),Concat 1/2 D4 (BPSK),RS Depth 4 (8PSK),Concat 1/2 D4 (8PSK),Uncoded (BPSK),Uncoded (8PSK),Uncoded (16QAM),CCSDS 4D-8PSK-TCM (BPSK),CCSDS 4D-8PSK-TCM-2.0 (BPSK),Concat 2/3 D4 (BPSK),Concat 3/4 D4 (BPSK),Concat 5/6 D4 (BPSK),Concat 7/8 D4 (BPSK),Uncoded (32APSK),Uncoded (64APSK),Uncoded (16APSK),Uncoded (64QAM),Uncoded (256QAM),Uncoded (256APSK),Uncoded (128APSK),Uncoded (128QAM),Concat 2/3 D4 (8PSK),Concat 3/4 D4 (8PSK),Concat 5/6 D4 (8PSK)
5.2,9.070352e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,5.999764e-07,5.608181e-01,1.000000e+00
5.3,7.766990e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,3.376539e-01,1.000000e+00
5.4,6.379511e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,1.886185e-01,1.000000e+00
5.5,4.310618e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,8.072028e-02,9.990566e-01
5.6,2.935217e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,2.734680e-02,9.916897e-01
5.7,1.750442e-01,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,8.621432e-03,9.672131e-01
5.8,8.953479e-02,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,2.110764e-03,9.112628e-01
5.9,4.455551e-02,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,4.716243e-04,7.763929e-01
6.0,2.032922e-02,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,8.629696e-05,5.735135e-01
6.1,8.109155e-03,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,1.659922e-05,3.682398e-01
6.2,3.142904e-03,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,2.999935e-06,2.093205e-01
6.3,1.065555e-03,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,9.999677e-08,8.917914e-02
6.4,3.633821e-04,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,3.218260e-02
6.5,1.093386e-04,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,9.720922e-03
6.6,3.449871e-05,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,2.459554e-03
6.7,7.899630e-06,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,5.720028e-04
6.8,2.199921e-06,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,1.166694e-04
6.9,1.999948e-07,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,2.199912e-05
7.0,1.999899e-07,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,3.099914e-06
7.1,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.990909e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.2,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.990966e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.3,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.972702e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.4,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.901698e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.5,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.874665e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.6,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.769299e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.7,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.583333e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.8,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,9.341992e-01,1.000000e+00,,,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
7.9,0.000000e+00,0.000000e+00,9.990610e-01,0.000000e+00,8.914791e-01,1.000000e+00,,,9.990917e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
8.0,0.000000e+00,0.000000e+00,9.869646e-01,0.000000e+00,8.667205e-01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,
8.1,0.000000e+00,0.000000e+00,9.695291e-01,0.000000e+00,8.029851e-01,1.000000e+00,,,9.972578e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,,,,,,0.000000e+00,0.000000e+00,
